Laser id,Elevation,Azimuth
1,-52.627,10.108
2,-51.028,9.72
3,-49.515,9.384
4,-48.074,9.091
5,-46.695,8.833
6,-45.369,8.603
7,-44.09,8.396
8,-42.852,8.209
9,-41.651,8.04
10,-40.482,7.885
11,-39.343,7.743
12,-38.231,7.612
13,-37.143,7.492
14,-36.076,7.38
15,-35.03,7.277
16,-34.002,7.18
17,-32.992,7.09
18,-31.996,7.006
19,-31.015,6.928
20,-30.048,6.854
21,-29.093,6.785
22,-28.149,6.721
23,-27.216,6.66
24,-26.292,6.602
25,-25.378,6.549
26,-24.473,6.498
27,-23.575,6.45
28,-22.685,6.405
29,-21.802,6.363
30,-20.926,6.323
31,-20.056,6.285
32,-19.191,6.25
33,-18.331,-6.217
34,-17.477,-6.186
35,-16.627,-6.157
36,-15.781,-6.129
37,-14.94,-6.104
38,-14.102,-6.08
39,-13.268,-6.057
40,-12.436,-6.037
41,-11.608,-6.018
42,-10.783,-6
43,-9.96,-5.984
44,-9.139,-5.969
45,-8.32,-5.955
46,-7.503,-5.943
47,-6.688,-5.927
48,-5.874,-5.923
49,-5.061,-5.915
50,-4.25,-5.908
51,-3.439,-5.902
52,-2.63,-5.897
53,-1.82,-5.894
54,-1.012,-5.892
55,-0.203,-5.891
56,0.606,-5.891
57,1.414,-5.893
58,2.223,-5.896
59,3.033,-5.899
60,3.843,-5.905
61,4.654,-5.911
62,5.466,-5.919
63,6.279,-5.927
64,7.094,-5.938
65,7.91,5.949
66,8.728,5.962
67,9.547,5.976
68,10.369,5.992
69,11.194,6.008
70,12.02,6.027
71,12.85,6.047
72,13.683,6.068
73,14.519,6.091
74,15.359,6.116
75,16.202,6.143
76,17.05,6.171
77,17.902,6.201
78,18.759,6.233
79,19.621,6.267
80,20.488,6.304
81,21.362,6.343
82,22.241,6.384
83,23.128,6.427
84,24.022,6.474
85,24.923,6.523
86,25.833,6.575
87,26.751,6.631
88,27.679,6.69
89,28.618,6.752
90,29.567,6.819
91,30.528,6.89
92,31.502,6.966
93,32.49,7.047
94,33.493,7.134
95,34.512,7.227
96,35.549,7.327
97,19.191,-6.25
98,20.056,-6.285
99,20.926,-6.323
100,21.802,-6.363
101,22.685,-6.405
102,23.575,-6.45
103,24.473,-6.498
104,25.378,-6.549
105,26.292,-6.602
106,27.216,-6.66
107,28.149,-6.721
108,29.093,-6.785
109,30.048,-6.854
110,31.015,-6.928
111,31.996,-7.006
112,32.992,-7.09
113,34.002,-7.18
114,35.03,-7.277
115,36.076,-7.38
116,37.143,-7.492
117,38.231,-7.612
118,39.343,-7.743
119,40.482,-7.885
120,41.651,-8.04
121,42.852,-8.209
122,44.09,-8.396
123,45.369,-8.603
124,46.695,-8.833
125,48.074,-9.091
126,49.515,-9.384
127,51.028,-9.72
128,52.627,-10.108
